05/12 17:35:42:471	Task: up touchX: 967 touchY: 225
05/12 17:35:42:483	Task: up touchX: 965 touchY: 211
05/12 17:35:42:491	Task: up touchX: 964 touchY: 195
05/12 17:35:42:502	Task: up touchX: 963 touchY: 177
05/12 17:35:42:510	Task: up touchX: 963 touchY: 159
05/12 17:35:42:523	Task: up touchX: 965 touchY: 139
05/12 17:35:42:531	Task: up touchX: 967 touchY: 121
05/12 17:35:42:542	Task: up touchX: 969 touchY: 104
05/12 17:35:42:553	Task: up touchX: 972 touchY: 89
05/12 17:35:42:562	Task: up touchX: 975 touchY: 77
05/12 17:35:42:568	Task: up touchX: 981 touchY: 67
05/12 17:35:42:584	Task: up touchX: 981 touchY: 67
05/12 17:35:44:677	Task: down touchX: 981 touchY: 242
05/12 17:35:44:683	Task: down touchX: 979 touchY: 244
05/12 17:35:44:703	Task: down touchX: 979 touchY: 244
05/12 17:35:44:724	Task: down touchX: 979 touchY: 244
05/12 17:35:44:742	Task: down touchX: 979 touchY: 244
05/12 17:35:44:755	Task: down touchX: 979 touchY: 247
05/12 17:35:44:762	Task: down touchX: 978 touchY: 249
05/12 17:35:44:775	Task: down touchX: 978 touchY: 251
05/12 17:35:44:783	Task: down touchX: 977 touchY: 252
05/12 17:35:44:795	Task: down touchX: 977 touchY: 254
05/12 17:35:44:803	Task: down touchX: 977 touchY: 255
05/12 17:35:44:815	Task: down touchX: 976 touchY: 257
05/12 17:35:44:823	Task: down touchX: 975 touchY: 259
05/12 17:35:44:836	Task: down touchX: 975 touchY: 260
05/12 17:35:44:842	Task: down touchX: 975 touchY: 261
05/12 17:35:44:855	Task: down touchX: 974 touchY: 262
05/12 17:35:44:862	Task: down touchX: 974 touchY: 263
05/12 17:35:44:875	Task: down touchX: 973 touchY: 263
05/12 17:35:44:883	Task: down touchX: 973 touchY: 264
05/12 17:35:44:895	Task: down touchX: 973 touchY: 264
05/12 17:35:44:903	Task: down touchX: 973 touchY: 265
05/12 17:35:44:916	Task: down touchX: 972 touchY: 265
05/12 17:35:44:955	Task: down touchX: 972 touchY: 265
05/12 17:35:44:961	Task: down touchX: 971 touchY: 265
05/12 17:35:44:975	Task: down touchX: 971 touchY: 267
05/12 17:35:44:984	Task: down touchX: 972 touchY: 268
05/12 17:35:44:995	Task: down touchX: 973 touchY: 271
05/12 17:35:45:002	Task: down touchX: 974 touchY: 276
05/12 17:35:45:015	Task: down touchX: 976 touchY: 284
05/12 17:35:45:022	Task: down touchX: 979 touchY: 296
05/12 17:35:45:035	Task: down touchX: 983 touchY: 313
05/12 17:35:45:041	Task: down touchX: 989 touchY: 336
05/12 17:35:45:055	Task: down touchX: 993 touchY: 365
05/12 17:35:45:062	Task: down touchX: 994 touchY: 399
05/12 17:35:45:076	Task: down touchX: 994 touchY: 399
05/12 17:35:47:031	Task: right touchX: 902 touchY: 285
05/12 17:35:47:037	Task: right touchX: 896 touchY: 284
05/12 17:35:47:055	Task: right touchX: 885 touchY: 285
05/12 17:35:47:068	Task: right touchX: 868 touchY: 287
05/12 17:35:47:076	Task: right touchX: 845 touchY: 289
05/12 17:35:47:087	Task: right touchX: 813 touchY: 295
05/12 17:35:47:093	Task: right touchX: 769 touchY: 303
05/12 17:35:47:106	Task: right touchX: 769 touchY: 303
05/12 17:35:49:242	Task: right touchX: 935 touchY: 289
05/12 17:35:49:246	Task: right touchX: 933 touchY: 289
05/12 17:35:49:257	Task: right touchX: 933 touchY: 289
05/12 17:35:49:264	Task: right touchX: 930 touchY: 286
05/12 17:35:49:279	Task: right touchX: 925 touchY: 281
05/12 17:35:49:287	Task: right touchX: 917 touchY: 275
05/12 17:35:49:297	Task: right touchX: 906 touchY: 267
05/12 17:35:49:305	Task: right touchX: 891 touchY: 256
05/12 17:35:49:318	Task: right touchX: 873 touchY: 244
05/12 17:35:49:326	Task: right touchX: 851 touchY: 231
05/12 17:35:49:338	Task: right touchX: 829 touchY: 217
05/12 17:35:49:344	Task: right touchX: 807 touchY: 204
05/12 17:35:49:357	Task: right touchX: 785 touchY: 192
